col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,Category
PP537,Wooden Forks,2000,,30.25,0,0,DF381,Tamarind Sauce,1,5,,17.71,0,0,,Frozen Food
PP509,2oz Sauce Container,1000,,17.15,0,0,DF452,Onion Chutney,75,1,,5.62,0,0,,Frozen Food
PP511,Cup Carrier (2cup),320,,28.52,0,0,DF459,Chick Peas,12,1,,6,0,0,,Frozen Food
PP512,Cup Carrier (4cup),160,,28.52,0,0,DF477,Poppadom Pellets (13kg),260,1,,131.25,0,0,,Frozen Food
PP514,Black Bin Bags,200,,13.81,0,0,DF478,Crispy Fried Onions (12X300G),360,12,,22.25,0,0,,Frozen Food
PP515,Blue Roll,6,,5.79,0,0,DF431,Sofra Cheese,6,1,,15.57,0,0,,Frozen Food
PP516,Hair nets,1000,,55,0,0,FPBC108,Masala Sauce for Chips/Sandwiches,12,12,,39.27,0,0,,Frozen Food
PP518,Beard nets,1000,,42,0,0,DF388,Naan,5,12,,23.63,0,0,,Frozen Food
PP520,Wheelie bin bags,100,,10,0,0,DF429,Paani,12,1,,30,0,0,,Frozen Food
,,Total,0,,0,0,DF428,Puri,12,1,,30,0,0,,Frozen Food
Drinks,,,,,,,DF395,Chaiiwala Honey,1,5,,19.69,0,0,,Frozen Food
Item Code,Product,Quantity per pack,Order,Price,Order Value,Weight (Kg),DF423,Honey Tubs (1.36kg),1,1,,8.15,0,0,,Frozen Food
FPG359,Zanti Cola 300ml ,24,,17.99,0,0,,,,Total:,0,,0,0,,Frozen Food
FPG362,Zanit Zero 330ml,24,,17.99,0,0,Misc,,,,,,,,,Frozen Food
FPG347,Karma Cola Sugar Free 300ml,24,,25,0,0,Item Code,Product,Quantity per pack,,Order,Price,Order Value,Weight (Kg),,Frozen Food
FPG349,Orangeade 300ml,24,,25,0,0,Other027,Small Urn (25 cup),1,,,290,0,0,,Frozen Food
FPG351,Lemoney Lemonade 300ml ,24,,25,0,0,Other028,Medium Urn (50 cup),1,,,330,0,0,,Frozen Food
FPG352,Irn Bru 330ml,24,,17.49,0,0,Other029,Large Urn (100 cup),1,,,350,0,0,,Frozen Food
FPG353,Rubicon Mango 500 ml,12,,10.69,0,0,Other030,Extra Large Urn (200 cup),1,,,395,0,0,,Frozen Food
FPG354,Rubicon Passion 500ml,12,,10.69,0,0,Other015,Faucet Kit (Tap for Urn),1,,,30,0,0,,Frozen Food
FPG355,RAW Orange and Mango 500ml,12,,10.99,0,0,Other016,Spout Kit (Screw for Urn),1,,,15,0,0,,Frozen Food
FPG356,RAW Raspberry & Blueberry 500ml,12,,10.99,0,0,SE888,Urn Vent Caps,1,,,6,0,0,,Frozen Food
FPG357,Simply Fruity Orange 330ml,12,,4.49,0,0,SE900,Urn Clip,1,,,16,0,0,,Frozen Food
FPG358,Simply Fruity Blackcurrent Apple 330ml,12,,4.49,0,0,Other017,Small Urn Gasket (Rubber),1,,,7.7,0,0,,Frozen Food
,,Total:,0,,0,0,Other018,Medium/Large Urn Gasket (Rubber),1,,,10.4,0,0,,Frozen Food
,,,,,,,Other019,Extra Large Urn Gasket (Rubber),1,,,15.05,0,0,,Frozen Food
Total Order Value:,,0,,,,,SE898,Coffee Machine Cleaner,1,,,108,0,0,,Frozen Food
,,,,,,,BP441,Safet and Cleaning LOG,1,,,25,0,0,,Frozen Food
Total Order Weight:,,0,,,,,BP471,Crib Sheets,1,,,35,0,0,,Frozen Food
,,,,,,,SE896,Roband Grill Sheets (10 per box),10,,,80,0,0,,Frozen Food
Total Number of Boxes:,,0,,,,,SE897,Till Rolls (80x76),1,,,16,0,0,,Frozen Food
,,,,,,,BP414,Large Thali,1,,,6,0,0,,Frozen Food
,,,,,,,BP418,Small Thali,1,,,5,0,0,,Frozen Food
,,,,,,,BP415,Steel bowls,1,,,1.4,0,0,,Frozen Food
,,,,,,,SE895,Steel Jugs (12 per pack),24,,,39,0,0,,Frozen Food
,,,,,,,SE883,Large Milk Pans,1,,,32.95,0,0,,Frozen Food
,,,,,,,SE901,Omelette Pan,1,,,12.5,0,0,,Frozen Food
,,,,,,,Other008,5ltr Napoli containers,1,,,1,0,0,,Frozen Food
,,,,,,,Other037,Monin 70cl Pump,1,,,5,0,0,,Frozen Food
,,,,,,,Other037,Monin 1ltr Pump,1,,,5,0,0,,Frozen Food
,,,,,,,SE887,Chaiiwala Pumps,1,,,3.5,0,0,,Frozen Food
,,,,,,,Other009,3000ml Jugs for eggs and faloodas,1,,,3.75,0,0,,Frozen Food
,,,,,,,NHSPP8,Sanatiser,1,,,20,0,0,,Frozen Food
,,,,,,,PP524,Black Baskets,1,,,12,0,0,,Frozen Food
,,,,,,,,,,Total:,0,,0,0,,Frozen Food
